ID	Order	Title	ID	Location	Size (Sq. Ft)	Role	Worksheet Role	Designed By	Worksheet Designed By	Architecture by	Worksheet Architecture	Categories	Permalink	Image Featured	Slug
561	6	KITH	561	NoHo	7500	General Contractor	#N/A	Snarkitecture	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/kith/	http://www.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-03-4.37x3.4.jpg	kith
2842	6	Riverside Drive Apartment	2842	Morningside Heights	2900	General Contractor	#N/A	Samantha Orley Interiors	#N/A	MZA Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/riverside-drive-apartment/	http://www.streamlineusa.com/wp-content/uploads/2022/02/420-riverside-134.jpg	riverside-drive-apartment
546	7	Versa at the Marriott Renaissance	546	Herald Square	18000	Construction Manager	#N/A	Celano Design	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/versa-marriott/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Versa-3.jpg	versa-marriott
2847	7	WARREN ST APT	2847	Tribeca	2600	General Contractor	#N/A	Current Interiors	#N/A	Michael Tower Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/warren-st-apt/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20210222_30WarrenSt-0178.jpg	warren-st-apt
491	8	Kat & Theo	491	Flatiron District	2300	General Contractor + Millwork	#N/A	Aviva Collective	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/kat-theo/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.15-PM.jpg	kat-theo
2504	8	12th st townhouse	2504	Greenwich Village	7000	Carpentry Millwork + Finishes	#N/A	Elisabeth de Kergorlay	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/12th-st-townhouse-greenwich-village/	http://www.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-Featured-copy.jpg	12th-st-townhouse-greenwich-village
509	9	Burger & Lobster	509	Bryant Park	8500	General Contractor + Millwork	#N/A	MZA Architecture	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/burger-lobster/	http://www.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER3.jpg	burger-lobster
567	9	Horatio St. Townhouse	567	Meat Packing District	3200	General Contractor + Millwork	General Contractor + Millwork	Tersigni Palachek Design	Tersigni Palachek Design	David Bae Architect	David Bae Architect	Residential	https://www.streamlineusa.com/residential/horatio-st-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-02.png	horatio-st-townhouse
512	10	Momofuku KO	512	Bowery	4500	General Contractor	#N/A	Richard Lewis Architecture	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/momofuku-ko/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Momofuku-Featured.jpg	momofuku-ko
1835	10	Lexington Ave Townhouse	1835	Upper East Side	4500	General Contractor	#N/A	Salvatore LaRosa	#N/A	B5 Studio Architects	#N/A	Residential	https://www.streamlineusa.com/residential/lexington-ave-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2020/02/UES-8-e1595540404244.jpg	lexington-ave-townhouse
