url	set	verdict_in_tsv	http_status	final_url	ok	notes
https://www.streamlineusa.com/residential/tribeca-loft-2/	legacy	301	301	https://www.streamlineusa.com/residential/tribeca-loft/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=tribeca-loft-2 claimant=tribeca-loft wp_id=520; 301 lands on tsv new_path
https://www.streamlineusa.com/commercial/upper-east-side-townhouse-2/	legacy	301	301	https://www.streamlineusa.com/commercial/upper-east-side-townhouse/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=upper-east-side-townhouse-2 claimant=upper-east-side-townhouse wp_id=564; 301 lands on tsv new_path
https://www.streamlineusa.com/commercial/rock-reillys/	legacy	301	301	https://www.streamlineusa.com/commercial/versa-marriott/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=rock-reillys claimant=versa-marriott wp_id=546; 301 lands on tsv new_path
https://www.streamlineusa.com/commercial/vivvi-daycare-2/	legacy	301	301	https://www.streamlineusa.com/commercial/vivvi-daycare-hudson-yards/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=vivvi-daycare-2 claimant=vivvi-daycare-hudson-yards wp_id=2853; 301 lands on tsv new_path
https://www.streamlineusa.com/commercial/motel-23-lounge-2/	legacy	301	301	https://www.streamlineusa.com/commercial/vivvi-daycare-tribeca/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=motel-23-lounge-2 claimant=vivvi-daycare-tribeca wp_id=494; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/wyckoff-st-townhouse/	legacy	301	301	https://www.streamlineusa.com/residential/wyckoff-townhouse/	yes	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv 301 old_slug=wyckoff-st-townhouse claimant=wyckoff-townhouse wp_id=2860; 301 lands on tsv new_path
https://www.streamlineusa.com/residential/hells-kitchen-apt/	legacy	REVIEW	301	https://www.streamlineusa.com/residential/53rd-st-studio/	review	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv REVIEW old_slug=hells-kitchen-apt claimant=1st-ave-apt wp_id=527; REVIEW ambiguous; live last-wins 301 → /residential/53rd-st-studio/ (not an invented target)
https://www.streamlineusa.com/residential/murray-hill-apartments/	legacy	REVIEW	301	https://www.streamlineusa.com/residential/1st-ave-apt/	review	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv REVIEW old_slug=murray-hill-apartments claimant=1st-ave-apt wp_id=527; REVIEW ambiguous; live last-wins 301 → /residential/1st-ave-apt/ (not an invented target)
https://www.streamlineusa.com/residential/hells-kitchen-apt/	legacy	REVIEW	301	https://www.streamlineusa.com/residential/53rd-st-studio/	review	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv REVIEW old_slug=hells-kitchen-apt claimant=53rd-st-studio wp_id=2838; REVIEW ambiguous; live last-wins 301 → /residential/53rd-st-studio/ (not an invented target)
https://www.streamlineusa.com/residential/sullivan-st-duplex/	legacy	REVIEW	301	https://www.streamlineusa.com/residential/sullivan-st-duplex-2/	review	measured-from-live, 2026-08-20; first=301; chain=301>200; hops=1; final_status=200; tsv REVIEW old_slug=sullivan-st-duplex claimant=53rd-st-studio wp_id=2838; REVIEW ambiguous; live last-wins 301 → /residential/sullivan-st-duplex-2/ (not an invented target)
