ID,Title,Date,Permalink,"Image Featured",Categories,Order,"Project Gallery",Location,Description,"Size (Sq. Ft)",Role,"Designed By","Architecture by"
561,KITH,"2019-12-29 22:47:01",https://www.staging8.streamlineusa.com/commercial/kith/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-03-4.37x3.4.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-02-4x5.65.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-12-3x2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Retail-Kith-17-2.155x2-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-03-2x4.205.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-13-4.3708x3.4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Retail-Kith-08-2.155x2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-03-4.37x3.4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Retail-Kith-02-2x3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-04-1.46x2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1071-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1070-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1073-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_7210-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1077-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1076-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1074-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1075-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0126-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0127-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0125-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0124-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0108-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0109-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0121-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0123-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0107-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0112-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0110-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0111-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0115-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0116-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_0117-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1084-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1085-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_1082-scaled.jpg,NoHo,"A 7,500 sq ft gut renovation of an old store on Broadway made super modern, full of customized millwork. Streamline worked with a renowned sports-fashion designer to build the New York City flagship store for state of the art footwear. We worked with an extremely creative designer and architect to bring in a top showroom.  Challenge: Extremely high ceilings and no access below. Streamline was the General Contractor for this project.",7500,,Snarkitecture,
564,"Washington Sq. Dermatology","2019-12-29 22:48:21",https://www.staging8.streamlineusa.com/commercial/upper-east-side-townhouse-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/wash.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/wash.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Washington-Sq-Derm-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Washington-Square-Dermatology-2.08x2.63.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Washington-Square-Dermatology-3.69x4.36.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Washington-Square-Dermatology-1.71x4.37.jpg,"West Village","We converted an old living space into a fully functional modernized doctor's office. We incorporated existing building risers in this building which had been in place for over 100 years. Evolving design changes and modern finishes created a cutting edge doctors office.  Some Challenges: The location had strict noise level limits and restricted working hours to accommodate the building’s residential tenants. The project also included the installation of all new mechanicals for seven exam rooms. Streamline was the General Contractor for this project.",2500,"General Contractor","Dr. Samer Jaber",
567,"Horatio St. Townhouse","2019-12-11 22:50:00",https://www.staging8.streamlineusa.com/residential/horatio-st-townhouse/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-02.png,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-01-1.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-05.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-02.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-04.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-08.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-06.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-07.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-03.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-09.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Horatio-St-3.68x6.74.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Horatio-St-3.9x3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Horatio-St-2.35x3.12.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Horatio-St-4.50x2.86.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Horatio-St-2.17x3.12.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-Residential-Horatio-12-4.11x5.65.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-Residential-Horatio-17-1.71x2.08-1.jpg,Chelsea,"Streamline converted a crumbling 1850’s townhouse into a modern, energy efficient home with an inviting outdoor garden patio. Extensive structural and shoring work was required to rescue a structurally unstable building. We also did extensive re-framing on every floor to raise the ceiling height and installed a new wooden staircase. We worked closely with the client, and handled the evolving design after the demolition phase revealed unexpected work was required to successfully execute the finished space, especially within budgetary and time constraints. Streamline's role was GC, and we self performed the millwork.",3200,"General Contractor + Millwork","Tersigni Palachek Design","David Bae Architect"
570,"Upper West Side Townhouse","2019-12-11 22:53:00",https://www.staging8.streamlineusa.com/residential/upper-west-side-townhouse-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_021-scaled.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_10retouched1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_051-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_041-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_071-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_021-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_031-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_081-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_061-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/UWS_TOWNHOUSE4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/UWS_TOWNHOUSE6.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/UWS_TOWNHOUSE7-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_011-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_091-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_11retouched1-scaled.jpg,"Upper West Side","A 6000 sq ft gut renovation of an existing 5 story townhouse. Challenges: Adding an elevator and a higher ceiling for basement level to accommodate wine cellar and tasting room. Installation of a new elevator and underpinning the foundation in cellar, only to hit water beneath the rock. We were also tasked with adding a new staircase while the project was underway, and recreating some of the existing coffered ceiling and wainscoting in the main living room. We then maintained the consistency of the existing coffered ceiling in main living room. Streamline's role was GC, and we self performed the millwork.",6000,"General Contractor + Millwork","Fury Design",
1835,"69th st townhouse","2019-12-10 17:11:00",https://www.staging8.streamlineusa.com/residential/upper-west-side-townhouse/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-8-e1595540404244.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-8-e1595540404244.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-Townhouse-2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-11.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-6.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-5.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/46883486.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-7.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-9.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-10.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-Townhouse-3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-12.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/UES-13.jpg,"Upper East Side","A 4,500 sq foot restoration and interior upgrade of a century old townhouse formerly owned by Andy Warhol.  With new mechanicals and millwork throughout the 5 floor home, this build out was both challenging and rewarding when the finished product was unveiled.  Many of the rooms were restored to their original state but colors changed to modernize them. This has an Eggerman kitchen and the highest grade plumbing fixtures from Waterworks. Streamline was the General Contractor for this project.",4500,,"Salvatore LaRosa","B5 Studio Architects"
1907,"Sullivan St duplex","2019-12-30 19:09:00",https://www.staging8.streamlineusa.com/residential/sullivan-st-duplex-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0847-scaled.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0872-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0862-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0867-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0850-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0863-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0839-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0844-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0853-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0855-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0847-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0858-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0860-scaled.jpeg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0857-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0871-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0873-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/DSC_0870-scaled.jpg,"West Village","This duplex renovation consisted of new millwork, interior finishes throughout, electrical upgrades and light fixtures. This incredible apartment with high ceilings and vast floor space has it all. Streamline performed the interior finishes for this project.",6000,,"Butter and Eggs Design","Michael Tower Architecture"
1931,"Mackage SoHo","2020-02-13 19:25:38",https://www.staging8.streamlineusa.com/commercial/mackage-soho-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8648-scaled.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8618-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8626-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8629-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8634-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8635-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8638-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8643-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8644-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8645-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8647-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/02/IMG_8648-scaled.jpg,SoHo,"Full scale renovation of this SOHO retail store. New millwork, floors, cash wrap, lighting details and features throughout. Streamline was the General Contractor for this project.",4500,,Burdifilek,
2306,"East Side Townhouse","2020-05-12 00:00:26",https://www.staging8.streamlineusa.com/residential/east-side-townhouse/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3022.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/East-Side-Townhouse-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3037.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3067.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3022.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3077.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3102.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3112.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3132.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3152.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3162.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3172.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3142.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3182.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3362.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3322.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3402.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3417.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3332.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3422.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3412.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3327.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3307.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3282.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3227.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3242.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3302.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3232.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3297.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3277.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3212.jpg,"Upper East Side","A 3800 sq foot 90% gut renovation. The clients chose to keep some of the historical features intact for this amazing build out.  The door trims, the staircase, and the window moldings are all original and refurbished.  All new mechanicals and windows throughout modernize the project while the millwork fits in perfectly with the style of the home.  Level 5 finishing throughout and upholstered walls make this house a perfect 10. Streamline was the General Contractor for this project.",3800,,"Virginia Tupker Interiors","MZA Architecture"
2345,"Motel 23 Lounge","2020-05-12 00:11:41",https://www.staging8.streamlineusa.com/commercial/motel-23-lounge/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Motel-23-Featured.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3688-Edit-2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3612.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3617.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3698.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3677.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3592.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3572.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3587.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3662.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3632.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Motel-23-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3602.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3667.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3657.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3672.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3652.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3642.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_161West23rdSt-3637.jpg,Chelsea,"This iconic location has been transformed into a motel themed cocktail lounge nestled on 23rd st in the heart of Chelsea.  Owner Operator Michael Cohen’s vision combines stage shows and high end decor.  Streamline’s team of finishers created most of the millwork on site and delivered the project in record time straight through the holiday season. Streamline was the General Contractor for this project.",3500,,"Colin Fuda","Atelier New York"
2366,"Wainscott, East Hampton Residence","2020-05-12 00:20:39",https://www.staging8.streamlineusa.com/residential/wainscott-east-hampton-residence/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1256.png,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1256.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1257.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_2545.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_2544.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1267.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_2543.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1262.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1265.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1259.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1264.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1263.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1260.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1266.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1261.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_1258.png,"Wainscott, East Hampton","This incredible country style home was designed by owners Nathalie and John.  The wood beams and custom kitchen make the house a stunning piece of work for the Wainscott area. A 5 bedroom 6 bathroom house makes it as comfortable as it gets.  A new roof and new siding were the last items on the list, and were completed this off-season. Streamline was the General Contractor for this project.",3200,,"Nathalie Akiya Design",
2384,"Ground Central Coffee Company","2020-05-12 00:26:29",https://www.staging8.streamlineusa.com/commercial/ground-central-coffee-company-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Ground-Central-Featured.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Ground-Central-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_2ndAveGroundCentral-3773.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_2ndAveGroundCentral-3728.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_2ndAveGroundCentral-3763.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_2ndAveGroundCentral-3753.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_2ndAveGroundCentral-3788.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_2ndAveGroundCentral-3708.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_2ndAveGroundCentral-3733.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/20200422_2ndAveGroundCentral-3718.jpg,"Murray Hill","This multi-location retail coffee shop operation has its own look and feel that has evolved over the years.  With may locations across the city, this 2nd Av shop has an amazing design that draws in the customers.  Ownership was very involved in the build-out process making sure we had their taste in mind when we installed all the finishes. We are very proud of how this little gem turned out! Streamline was the General Contractor for this project.",550,,"Daniel O'Connor Architects","Daniel O'Connor Architects"
2396,"Jackson heights Townhouse","2020-05-12 00:35:37",https://www.staging8.streamlineusa.com/residential/jackson-heights-townhouse-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Jackson-Heights-Featured.png,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Jackson-Heights-Featured.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_0457.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_0458.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_0449.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_0462.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_0448.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_0450.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_0452.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_0455.png,"Jackson Heights","A full gut renovation of this century old townhouse, we maximized the space and brought all the mechanicals to brand new high-tech status. A massive bathroom with steam shower and sunken tub, reclaimed wood, custom kitchen and rebuilding the front window bay are only a few of the major new features in this house.  3 bedrooms and 3 bathrooms overall. Interiors and furniture designed by owner Nathalie Akiya and co-managed by husband John Murray, this build out was one to remember. Streamline was the General Contractor for this project.",2200,,"Nathalie Akiya Design","SWA Architecture"
2409,"Upper West Side Apartment","2020-05-12 00:42:03",https://www.staging8.streamlineusa.com/residential/upper-west-side-apartment/,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Upper-West-Side-Apt-Featured.jpg,Residential,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Upper-West-Side-Apt-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_7306.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_7300.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_7299.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_7302.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_7311.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_7313.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/IMG_7318.jpg,"Upper West Side","This West End Ave beauty has its own NYC style.  A gut renovation that included turning a powder room into a full bathroom with a new custom kitchen brought this unique apartment to the next level in its class.  The closet with shelves for a DJ booth and classic record player gives the place a fun feel from the second you step in the door. Streamline was the General Contractor for this project.",1400,,"Yael and Ori Morag","MZA Architecture"
